Team,Conference,Current coach,DOB,Month,Day,Year,Since,M_D_DOB,Sign
Presbyterian Blue Hose,Big South Conference,Dustin Kerns,10/10/68,10,10,1968,2017–18,1010,Libra
SIU Edwardsville Cougars,Ohio Valley Conference,Jon Harris,10/10/68,10,10,1968,2015–16,1010,Libra
South Dakota Coyotes,Summit League,Todd Lee,10/10/68,10,10,1968,2018–19,1010,Libra
UTRGV Vaqueros,Western Athletic Conference,Lew Hill,10/10/68,10,10,1968,2016–17,1010,Libra
Western Carolina Catamounts,Southern Conference,Mark Prosser,10/10/68,10,10,1968,2018–19,1010,Libra
Houston Baptist Huskies,Southland Conference,Ron Cottrell,10/11/60,10,11,1960,2007–08,1011,Libra
Jacksonville State Gamecocks,Ohio Valley Conference,Ray Harper,10/11/61,10,11,1961,2016–17,1011,Libra
VMI Keydets,Southern Conference,Dan Earl,10/12/74,10,12,1974,2015–16,1012,Libra
Buffalo Bulls,Mid-American Conference,Nate Oats,10/13/74,10,13,1974,2015–16,1013,Libra
Eastern Illinois Panthers,Ohio Valley Conference,Jay Spoonhour,10/14/70,10,14,1970,2012–13,1014,Libra
North Texas Mean Green,Conference USA,Grant McCasland,10/14/76,10,14,1976,2017–18,1014,Libra
Abilene Christian Wildcats,Southland Conference,Joe Golding,10/15/75,10,15,1975,2011–12,1015,Libra
Eastern Kentucky Colonels,Ohio Valley Conference,A.W. Hamilton,10/15/80,10,15,1980,2018–19,1015,Libra
Howard Bison,Mid-Eastern Athletic Conference,Kevin Nickelberry,10/15/64,10,15,1964,2010–11,1015,Libra
Niagara Purple Eagles,Metro Atlantic Athletic Conference,Chris Casey,10/15/63,10,15,1963,2013–14,1015,Libra
UNLV Runnin' Rebels,Mountain West Conference,Marvin Menzies,10/15/61,10,15,1961,2016–17,1015,Libra
Fresno State Bulldogs,Mountain West Conference,Justin Hutson,10/16/71,10,16,1971,2018–19,1016,Libra
Texas–Arlington Mavericks,Sun Belt Conference,Chris Ogden,10/16/80,10,16,1980,2018–19,1016,Libra
Rhode Island Rams,Atlantic 10 Conference,David Cox,10/17/73,10,17,1973,2018–19,1017,Libra
Troy Trojans,Sun Belt Conference,Phil Cunningham,10/17/66,10,17,1966,2013–14,1017,Libra
Youngstown State Penguins,Horizon League,Jerrod Calhoun,10/17/81,10,17,1981,2017–18,1017,Libra
Kansas State Wildcats,Big 12 Conference,Bruce Weber,10/19/56,10,19,1956,2012–13,1019,Libra
Baylor Bears,Big 12 Conference,Scott Drew,10/23/70,10,23,1970,2003–04,1023,Scorpio
UC Irvine Anteaters,Big West Conference,Russell Turner,10/24/70,10,24,1970,2010–11,1024,Scorpio
Duquesne Dukes,Atlantic 10 Conference,Keith Dambrot,10/26/58,10,26,1958,2017–18,1026,Scorpio
Campbell Fighting Camels,Big South Conference,Kevin McGeehan,10/30/73,10,30,1973,2013–14,1030,Scorpio
Indiana Hoosiers,Big Ten Conference,Archie Miller,10/30/78,10,30,1978,2017–18,1030,Scorpio
San Diego State Aztecs,Mountain West Conference,Brian Dutcher,10/30/59,10,30,1959,2017–18,1030,Scorpio
Tulsa Golden Hurricane,American Athletic Conference,Frank Haith,11/03/65,11,03,1965,2014–15,1103,Scorpio
UMass Lowell River Hawks,America East Conference,Pat Duquette,11/04/70,11,04,1970,2013–14,1104,Scorpio
Boston University Terriers,Patriot League,Joe Jones,11/09/65,11,09,1965,2011–12,1109,Scorpio
TCU Horned Frogs,Big 12 Conference,Jamie Dixon,11/10/65,11,10,1965,2016–17,1110,Scorpio
Bethune-Cookman Wildcats,Mid-Eastern Athletic Conference,Ryan Ridder,11/11/84,11,11,1984,2017–18,1111,Scorpio
Ohio State Buckeyes,Big Ten Conference,Chris Holtmann,11/11/71,11,11,1971,2017–18,1111,Scorpio
San Diego Toreros,West Coast Conference,Sam Scholl,11/11/77,11,11,1977,2018–19,1111,Scorpio
Xavier Musketeers,Big East Conference,Travis Steele,11/12/81,11,12,1981,2018–19,1112,Scorpio
Pepperdine Waves,West Coast Conference,Lorenzo Romar,11/13/58,11,13,1958,2018–19,1113,Scorpio
IUPUI Jaguars,Horizon League,Jason Gardner,11/14/80,11,14,1980,2014–15,1114,Scorpio
Navy Midshipmen,Patriot League,Ed DeChellis,11/14/58,11,14,1958,2011–12,1114,Scorpio
Clemson Tigers,Atlantic Coast Conference,Brad Brownell,11/15/68,11,15,1968,2010–11,1115,Scorpio
Sacramento State Hornets,Big Sky Conference,Brian Katz,11/15/57,11,15,1957,2008–09,1115,Scorpio
Texas State Bobcats,Sun Belt Conference,Danny Kaspar,11/16/54,11,16,1954,2013–14,1116,Scorpio
Arizona Wildcats,Pac-12 Conference,Sean Miller,11/17/68,11,17,1968,2009–10,1117,Scorpio
Nicholls State Colonels,Southland Conference,Austin Claunch,11/17/89,11,17,1989,2018–19,1117,Scorpio
Syracuse Orange,Atlantic Coast Conference,Jim Boeheim,11/17/44,11,17,1944,1976–77,1117,Scorpio
Nevada Wolf Pack,Mountain West Conference,Eric Musselman,11/19/64,11,19,1964,2015–16,1119,Scorpio
Colgate Raiders,Patriot League,Matt Langel,11/21/77,11,21,1977,2011–12,1121,Scorpio
Montana Grizzlies,Big Sky Conference,Travis DeCuire,11/21/70,11,21,1970,2014–15,1121,Scorpio
Rutgers Scarlet Knights,Big Ten Conference,Steve Pikiell,11/21/67,11,21,1967,2016–17,1121,Scorpio
UNC Wilmington Seahawks,Colonial Athletic Association,C.B. McGrath,11/21/75,11,21,1975,2017–18,1121,Scorpio
UCLA Bruins,Pac-12 Conference,Steve Alford,11/23/64,11,23,1964,2013–14,1123,Sagittarius
Delaware Fightin' Blue Hens,Colonial Athletic Association,Martin Ingelsby,11/24/78,11,24,1978,2016–17,1124,Sagittarius
Louisiana Tech Bulldogs,Conference USA,Eric Konkol,11/24/76,11,24,1976,2015–16,1124,Sagittarius
Boise State Broncos,Mountain West Conference,Leon Rice,11/25/63,11,25,1963,2010–11,1125,Sagittarius
Creighton Bluejays,Big East Conference,Greg McDermott,11/25/64,11,25,1964,2010–11,1125,Sagittarius
LSU Tigers,Southeastern Conference,Will Wade,11/26/82,11,26,1982,2017–18,1126,Sagittarius
Central Arkansas Bears,Southland Conference,Russ Pennell,11/28/60,11,28,1960,2014–15,1128,Sagittarius
Lamar Cardinals,Southland Conference,Tic Price,11/29/55,11,29,1955,2014–15,1129,Sagittarius
Wisconsin Badgers,Big Ten Conference,Greg Gard,12/03/70,12,03,1970,2015–16,1203,Sagittarius
Holy Cross Crusaders,Patriot League,Bill Carmody,12/04/51,12,04,1951,2015–16,1204,Sagittarius
Coastal Carolina Chanticleers,Sun Belt Conference,Cliff Ellis,12/05/45,12,05,1945,2007–08,1205,Sagittarius
Morgan State Bears,Mid-Eastern Athletic Conference,Todd Bozeman,12/05/63,12,05,1963,2006–07,1205,Sagittarius
Oakland Golden Grizzlies,Horizon League,Greg Kampe,12/05/55,12,05,1955,1984–85,1205,Sagittarius
Southeastern Louisiana Lions,Southland Conference,Jay Ladner,12/08/65,12,08,1965,2014–15,1208,Sagittarius
Indiana State Sycamores,Missouri Valley Conference,Greg Lansing,12/09/67,12,09,1967,2010–11,1209,Sagittarius
Arkansas Razorbacks,Southeastern Conference,Mike Anderson,12/12/59,12,12,1959,2011–12[a],1212,Sagittarius
Green Bay Phoenix,Horizon League,Linc Darner,12/12/70,12,12,1970,2015–16,1212,Sagittarius
UMass Minutemen,Atlantic 10 Conference,Matt McCall,12/12/81,12,12,1981,2017–18,1212,Sagittarius
Penn State Nittany Lions,Big Ten Conference,Pat Chambers,12/13/70,12,13,1970,2011–12,1213,Sagittarius
Sacred Heart Pioneers,Northeast Conference,Anthony Latina,12/13/73,12,13,1973,2013–14,1213,Sagittarius
Illinois Fighting Illini,Big Ten Conference,Brad Underwood,12/14/63,12,14,1963,2017–18,1214,Sagittarius
Monmouth Hawks,Metro Atlantic Athletic Conference,King Rice,12/14/68,12,14,1968,2011–12,1214,Sagittarius
North Florida Ospreys,Atlantic Sun Conference,Matthew Driscoll,12/14/64,12,14,1964,2009–10,1214,Sagittarius
Ole Miss Rebels,Southeastern Conference,Kermit Davis,12/14/59,12,14,1959,2018–19,1214,Sagittarius
Utah State Aggies,Mountain West Conference,Craig Smith,12/14/72,12,14,1972,2018–19,1214,Sagittarius
Omaha Mavericks,Summit League,Derrin Hansen,12/15/67,12,15,1967,2011–12,1215,Sagittarius
South Florida Bulls,American Athletic Conference,Brian Gregory,12/15/66,12,15,1966,2017–18,1215,Sagittarius
Northern Iowa Panthers,Missouri Valley Conference,Ben Jacobson,12/16/70,12,16,1970,2006–07,1216,Sagittarius
Wyoming Cowboys,Mountain West Conference,Allen Edwards,12/16/75,12,16,1975,2016–17,1216,Sagittarius
BYU Cougars,West Coast Conference,Dave Rose,12/19/57,12,19,1957,2005–06,1219,Sagittarius
Montana State Bobcats,Big Sky Conference,Brian Fish,12/20/65,12,20,1965,2014–15,1220,Sagittarius
Western Kentucky Hilltoppers,Conference USA,Rick Stansbury,12/23/59,12,23,1959,2016–17,1223,Capricorn
Villanova Wildcats,Big East Conference,Jay Wright,12/24/61,12,24,1961,2001–02,1224,Capricorn
Charleston Cougars,Colonial Athletic Association,Earl Grant,12/25/76,12,25,1976,2014–15,1225,Capricorn
James Madison Dukes,Colonial Athletic Association,Louis Rowe,12/26/72,12,26,1972,2016–17,1226,Capricorn
Gonzaga Bulldogs,West Coast Conference,Mark Few,12/27/62,12,27,1962,1999–2000,1227,Capricorn
Kansas Jayhawks,Big 12 Conference,Bill Self,12/27/62,12,27,1962,2003–04,1227,Capricorn
Northwestern State Demons,Southland Conference,Mike McConathy,12/27/55,12,27,1955,1999–2000,1227,Capricorn
Saint Louis Billikens,Atlantic 10 Conference,Travis Ford,12/29/69,12,29,1969,2016–17,1229,Capricorn
Louisville Cardinals,Atlantic Coast Conference,Chris Mack,12/30/69,12,30,1969,2018–19,1230,Capricorn
Morehead State Eagles,Ohio Valley Conference,Preston Spradlin,12/30/86,12,30,1986,2016–17,1230,Capricorn
Idaho State Bengals,Big Sky Conference,Bill Evans,12/31/48,12,31,1948,2012–13,1231,Capricorn
